target,xmid,dose,K,r,x_2,y_21,B0_21,maxB1,maxB2,maxB3,minB1,minB2,minB3,sp_survival
x,30.0,58.0,0.8262686110014499,4.900749719809166e-7,9.759945121418927e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110050709,0.0,0.030270368957304332,0.8262686109814154,0.0,0.0,1
x,30.0,59.0,0.8262686110014499,4.900749719809166e-7,8.986680647793988e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110042774,0.0,0.034601255729119054,0.8262686109852356,0.0,0.0,1
x,30.0,60.0,0.8262686110014499,4.900749719809166e-7,8.284290687370464e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110015103,0.0,0.021818107243215347,0.8262686110010876,0.0,0.0,1
x,30.0,61.0,0.8262686110014499,4.900749719809166e-7,7.64552996089044e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014918,0.0,0.02454287550903063,0.8262686110011881,0.0,0.0,1
x,30.0,62.0,0.8262686110014499,4.900749719809166e-7,7.063952337855398e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014782,0.0,0.027392941539159707,0.8262686110012637,0.0,0.0,1
x,30.0,63.0,0.8262686110014499,4.900749719809166e-7,6.53381915692822e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014688,0.0,0.03036676869320028,0.8262686110013194,0.0,0.0,1
x,30.0,64.0,0.8262686110014499,4.900749719809166e-7,6.0500179109774745e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014624,0.0,0.03346733733742265,0.8262686110013593,0.0,0.0,1
x,30.0,65.0,0.8262686110014499,4.900749719809166e-7,5.607990272759737e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014584,0.0,0.036699376646193674,0.8262686110013874,0.0,0.0,1
x,30.0,66.0,0.8262686110014499,4.900749719809166e-7,5.203668484645008e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014554,0.0,0.04006259725946815,0.826268611001407,0.0,0.0,1
x,30.0,67.0,0.8262686110014499,4.900749719809166e-7,4.8334192007759754e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014535,0.0,0.04354791024126768,0.8262686110014205,0.0,0.0,1
x,30.0,68.0,0.8262686110014499,4.900749719809166e-7,4.493993943859876e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014522,0.0,0.047137742112264444,0.8262686110014299,0.0,0.0,1
x,30.0,69.0,0.8262686110014499,4.900749719809166e-7,4.182485415517904e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014515,0.0,0.050807142938211675,0.8262686110014361,0.0,0.0,1
x,30.0,70.0,0.8262686110014499,4.900749719809166e-7,3.896288974898753e-9,1.1107426755788226e-5,2.635992579106475,0.8262686110014507,0.0,0.05453079359937716,0.8262686110014406,0.0,0.0,1
