target,asymptote,dose,K,r,x_2,y_21,B0_21,maxB1,maxB2,maxB3,minB1,minB2,minB3,sp_survival
y,0.4,95.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.701674116022332e-6,2.635992579106475,0.30503921848040305,0.1940509601872001,0.08464137146654342,0.30387361987830064,0.19306368456082285,0.0843683860910404,3
y,0.4,96.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.6889648768884685e-6,2.635992579106475,0.3049113211093636,0.19461352530186596,0.08411817790470492,0.3037490700556657,0.1936276501303603,0.08384785831852253,3
y,0.4,97.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.676979679619376e-6,2.635992579106475,0.3047900362057483,0.19514704833286237,0.08362194653974928,0.30363092188521557,0.19416250174388175,0.08335414502126201,3
y,0.4,98.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.665672536444068e-6,2.635992579106475,0.3046750104259075,0.19565308521942734,0.08315123695245984,0.30351883361571175,0.1946698010453334,0.08288581452216819,3
y,0.4,99.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.655000594287454e-6,2.635992579106475,0.3045659073694157,0.19613311494856195,0.08270467932752257,0.3034124793389594,0.19515102875267296,0.08244150535902274,3
y,0.4,100.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.644923916056895e-6,2.635992579106475,0.304462407158814,0.19658854232423628,0.08228097237483332,0.303311550692962,0.1956075951295485,0.08201992416612441,3
y,0.5,0.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.635992579106475,0.33102749092027745,0.07920014385845774,0.19046866001394258,0.32887267108176804,0.07799248937520874,0.1893313740349052,3
y,0.5,1.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1107426738016343e-5,2.635992579106475,0.3310274908774401,0.07920014409914192,0.19046866000947793,0.3288726710181193,0.07799248929564738,0.1893313739260554,3
y,0.5,2.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1107426187088034e-5,2.635992579106475,0.33102748996220605,0.07920014795654017,0.1904686562751529,0.32887267044379015,0.07799249344313264,0.18933137022391797,3
y,0.5,3.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1107422437224062e-5,2.635992579106475,0.33102748410823746,0.07920017537785759,0.19046863142462384,0.3288726644067347,0.07799252086972631,0.18933134570515917,3
y,0.5,4.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1107408557439862e-5,2.635992579106475,0.3310274613487191,0.07920027641146146,0.19046853921961052,0.3288726428997022,0.07799262172826789,0.18933125454630345,3
y,0.5,5.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1107371219209813e-5,2.635992579106475,0.3310274006831573,0.07920054827890985,0.1904682906931007,0.3288725848582282,0.0779928934605895,0.18933100937794164,3
y,0.5,6.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1107288565066128e-5,2.635992579106475,0.3310272664885468,0.0792011503165991,0.19046774080781192,0.3288724566474438,0.07799349495254605,0.18933046675330947,3
y,0.5,7.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1107128079817362e-5,2.635992579106475,0.33102700521238027,0.07920231912961016,0.1904666733250259,0.32887220764639036,0.07799466267799278,0.1893294131147464,3
y,0.5,8.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1106844467789655e-5,2.635992579106475,0.3310265441876955,0.07920438475978565,0.19046478669308184,0.32887176750169095,0.07799672676840508,0.18932755093719109,3
y,0.5,9.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1106377542136277e-5,2.635992579106475,0.33102578510670067,0.07920778581665963,0.19046168055762225,0.3288710430905019,0.07800012473406003,0.1893244850892527,3
y,0.5,10.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1105650136025623e-5,2.635992579106475,0.3310246019345543,0.07921308468055256,0.19045684111302336,0.32886991375163344,0.07800541927640241,0.18931970831015035,3
