target,xmid,dose,r,x_2,y_21,B0_21,meanB1,meanB2,meanB3,maxB1,maxB2,maxB3,minB1,minB2,minB3,stabilityB1,stabilityB2,stabilityB3,sp_survival
B0,8.0,86.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.03396906875070561,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,87.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.031003584402413638,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,88.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.028323771983054177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0
B0,8.0,89.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.025899771434598422,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,90.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.023705053278657184,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,91.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.021716029520583994,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,92.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.019911711018138985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0
B0,8.0,93.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.01827340586108519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0
B0,8.0,94.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.016784453885774618,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,95.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.015429992986709967,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,96.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.014196753380701135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0
B0,8.0,97.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.013072876427229617,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,98.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.01204775501174852,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,99.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.011111892858957327,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,100.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.010256780463449319,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
