target,slope,dose,K,r,x_2,y_21,B0_21,maxB1,maxB2,maxB3,minB1,minB2,minB3,sp_survival
x,2.0,87.0,0.8262686110014499,4.900749719809166e-7,6.7877046549614e-8,1.1107426755788226e-5,2.635992579106475,0.7202665665857046,0.019263172647053333,0.46838855582658845,0.7192635785603746,0.018894881940419057,0.46724735413253893,3
x,2.0,88.0,0.8262686110014499,4.900749719809166e-7,6.671749138110732e-8,1.1107426755788226e-5,2.635992579106475,0.7222027258707615,0.018947173265100176,0.46967406858067007,0.7211006518462444,0.018555692647681966,0.46842736264632534,3
x,2.0,89.0,0.8262686110014499,4.900749719809166e-7,6.558429917551707e-8,1.1107426755788226e-5,2.635992579106475,0.7241844548310423,0.018665196748298616,0.47102498216860833,0.7228152591063862,0.018189230397729843,0.46948717846944527,3
x,2.0,90.0,0.8262686110014499,4.900749719809166e-7,6.447679072717578e-8,1.1107426755788226e-5,2.635992579106475,0.7260276306671299,0.018357310069679552,0.4722234355515362,0.7245838515509438,0.017866327538860593,0.4706267208495416,3
x,2.0,91.0,0.8262686110014499,4.900749719809166e-7,6.339430309879077e-8,1.1107426755788226e-5,2.635992579106475,0.7278160063917706,0.018055435614532725,0.4733765476161094,0.7263178749077848,0.01755220431037528,0.4717396693065888,3
x,2.0,92.0,0.8262686110014499,4.900749719809166e-7,6.2336189502742e-8,1.1107426755788226e-5,2.635992579106475,0.7295466883379631,0.01775551363295013,0.4744861188986536,0.7280115354264225,0.017249482526563137,0.4728407611523119,3
x,2.0,93.0,0.8262686110014499,4.900749719809166e-7,6.130181915042276e-8,1.1107426755788226e-5,2.635992579106475,0.7312645529901896,0.017465436966246712,0.4755606508009414,0.7295919446267647,0.01694754664763184,0.47390316139599586,3
x,2.0,94.0,0.8262686110014499,4.900749719809166e-7,6.029057707375294e-8,1.1107426755788226e-5,2.635992579106475,0.7329186219270992,0.017179937954711913,0.47662200597169846,0.7311761044465762,0.016659820919712336,0.4749391968063978,3
x,2.0,95.0,0.8262686110014499,4.900749719809166e-7,5.930186392260854e-8,1.1107426755788226e-5,2.635992579106475,0.7345325341634812,0.01690373479804148,0.4776507114477171,0.732727186184408,0.016380621352194633,0.4759589074897646,3
x,2.0,96.0,0.8262686110014499,4.900749719809166e-7,5.833509574155542e-8,1.1107426755788226e-5,2.635992579106475,0.7360958551395484,0.016629535055205837,0.4786467212227416,0.7342665718491833,0.016110063616746034,0.4769724032859853,3
